folder,photo,iou,area_old,area_new,area_ratio,h_old,h_new,h_ratio,w_old,w_new,w_ratio
6502,IMG_20260604_070221,0.8645,329544,343747,1.0431,960,992,1.0333,627,602,0.9601
6502,IMG_20260604_070222,0.8675,340854,359394,1.0544,960,998,1.0396,601,589,0.98
6502,IMG_20260604_070222_1,0.872,346698,365397,1.0539,984,1011,1.0274,678,659,0.972
6502,IMG_20260604_070223,0.8499,297288,315405,1.0609,912,953,1.045,601,589,0.98
6502,IMG_20260604_070223_1,0.8697,292716,308526,1.054,912,941,1.0318,620,621,1.0016
6502,IMG_20260604_070224,0.8659,293592,308071,1.0493,912,935,1.0252,627,602,0.9601
6502,IMG_20260604_070224_1,0.8585,291234,305830,1.0501,936,953,1.0182,601,582,0.9684
6502,IMG_20260604_070225,0.8699,283380,299366,1.0564,984,1030,1.0467,550,538,0.9782
6502,IMG_20260604_070225_1,0.9198,276348,287409,1.04,624,659,1.0561,742,723,0.9744
6502,IMG_20260604_070228,0.9342,3434508,3660971,1.0659,1650,1735,1.0515,2460,2454,0.9976
6502,IMG_20260604_070228_1,0.939,3740953,3971468,1.0616,1674,1753,1.0472,2741,2716,0.9909
6502,IMG_20260604_070229,0.939,3618535,3844242,1.0624,1603,1697,1.0586,2690,2678,0.9955
6502,IMG_20260604_070231,0.9105,280464,291257,1.0385,648,659,1.017,819,780,0.9524
6502,IMG_20260604_070232,0.9208,285768,299822,1.0492,624,653,1.0465,819,787,0.9609
6502,IMG_20260604_070232_1,0.9095,294504,303080,1.0291,624,646,1.0353,845,820,0.9704
6502,IMG_20260604_070233,0.9239,290160,303991,1.0477,648,653,1.0077,845,813,0.9621
6502,IMG_20260604_070233_1,0.9165,296220,306125,1.0334,648,659,1.017,845,813,0.9621
6502,IMG_20260604_070234,0.9235,294924,308472,1.0459,648,666,1.0278,845,819,0.9692
6502,IMG_20260604_070234_1,0.9167,285822,298262,1.0435,648,653,1.0077,845,812,0.9609
6502,IMG_20260604_070235,0.9171,283380,295617,1.0432,624,646,1.0353,820,800,0.9756
6502,IMG_20260604_070235_1,0.9159,296130,300012,1.0131,624,633,1.0144,845,826,0.9775
6502,IMG_20260604_070236,0.9112,280812,291349,1.0375,618,660,1.068,870,857,0.9851
6502,IMG_20260604_070236_1,0.9143,278328,288833,1.0377,624,653,1.0465,845,813,0.9621
6502,IMG_20260604_070236_2,0.9123,269442,279290,1.0365,618,647,1.0469,794,774,0.9748
6502,IMG_20260604_070237,0.9372,261924,271168,1.0353,648,666,1.0278,794,762,0.9597
6590,IMG_20260604_064617,0.9222,642126,681682,1.0616,960,985,1.026,1434,1395,0.9728
6590,IMG_20260604_064621,0.9393,768378,801157,1.0427,984,1018,1.0346,1638,1600,0.9768
6590,IMG_20260604_064621_1,0.9339,782850,818638,1.0457,984,1030,1.0467,1639,1606,0.9799
6590,IMG_20260604_064622,0.9276,761694,808720,1.0617,984,1031,1.0478,1581,1581,1.0
6590,IMG_20260604_064623,0.9282,755604,797175,1.055,984,1024,1.0407,1568,1568,1.0
6590,IMG_20260604_064623_1,0.9258,703674,740651,1.0525,984,1037,1.0539,1382,1357,0.9819
6590,IMG_20260604_064624,0.9209,795120,835088,1.0503,984,1024,1.0407,1715,1703,0.993
6590,IMG_20260604_064625,0.9232,784410,825441,1.0523,960,1018,1.0604,1613,1594,0.9882
6590,IMG_20260604_064625_1,0.9285,780054,816077,1.0462,984,1024,1.0407,1587,1556,0.9805
6590,IMG_20260604_064626,0.9273,782202,817463,1.0451,984,1031,1.0478,1562,1549,0.9917
6590,IMG_20260604_064627,0.9312,782388,822319,1.051,984,1024,1.0407,1588,1561,0.983
6590,IMG_20260604_064627_1,0.9254,764958,805914,1.0535,984,1024,1.0407,1536,1516,0.987
6590,IMG_20260604_064628,0.9289,761862,801516,1.052,984,1018,1.0346,1562,1517,0.9712
6590,IMG_20260604_064629,0.935,777648,811471,1.0435,960,1011,1.0531,1562,1530,0.9795
6590,IMG_20260604_064630,0.9325,756792,786740,1.0396,984,1024,1.0407,1510,1485,0.9834
6590,IMG_20260604_064633,0.9332,4459928,4702978,1.0545,2177,2284,1.0492,2895,2869,0.991
6590,IMG_20260604_064633_1,0.9348,4453938,4692993,1.0537,2177,2290,1.0519,2920,2907,0.9955
