foto,fila,nombre,arete,telefono,marker_px,px_per_cm,distancia_m,nivel_distancia,cow_conf,area_px,lateral_area_cm2,lateral_area_cm2_corr,body_length_cm,height_cm,chest_depth_cm,aspect_ratio,fill_ratio,marcador_en_caja,seleccionada_3m,estado
IMG_20260912_071655.jpg,10,Martinica,,xiaomi_15_ultra,178.55,11.9032,2.198,2.5,0.953,1743258,12303.66,18536.51,200.62,114.0,112.91,1.7598,0.538,0,0,ok
IMG_20260912_071656.jpg,10,Martinica,,xiaomi_15_ultra,173.25,11.5503,2.266,2.5,0.958,1738863,13033.97,19421.65,208.91,119.13,116.36,1.7536,0.5237,0,0,ok
IMG_20260912_071656_1.jpg,10,Martinica,,xiaomi_15_ultra,161.09,10.7392,2.437,2.5,0.946,1674568,14519.83,21089.79,220.5,126.92,125.15,1.7373,0.5188,0,0,ok
IMG_20260912_071657.jpg,10,Martinica,,xiaomi_15_ultra,160.26,10.6841,2.449,2.5,0.93,1582588,13864.12,20102.24,218.64,125.23,124.02,1.7459,0.5063,0,0,ok
IMG_20260912_071657_1.jpg,10,Martinica,,xiaomi_15_ultra,160.25,10.6835,2.449,2.5,0.922,1628666,14269.41,20689.49,221.0,125.24,123.46,1.7646,0.5156,0,0,ok
IMG_20260912_071658.jpg,10,Martinica,,xiaomi_15_ultra,159.76,10.6506,2.457,2.5,0.924,1599067,14096.84,20417.92,219.89,125.53,125.53,1.7517,0.5107,0,0,ok
IMG_20260912_071658_1.jpg,10,Martinica,,xiaomi_15_ultra,159.76,10.6506,2.457,2.5,0.917,1619693,14278.67,20681.28,221.12,127.41,127.41,1.7354,0.5068,0,0,ok
IMG_20260912_071659.jpg,10,Martinica,,xiaomi_15_ultra,159.76,10.6505,2.457,2.5,0.921,1615643,14243.21,20629.86,222.34,125.53,125.53,1.7711,0.5103,0,0,ok
IMG_20260912_071916.jpg,11,Crisalia,197257,xiaomi_15_ultra,162.37,10.8247,2.418,2.5,0.958,1626254,13878.93,20213.61,217.56,131.27,131.27,1.6573,0.486,0,0,ok
IMG_20260912_071916_1.jpg,11,Crisalia,197257,xiaomi_15_ultra,162.33,10.822,2.418,2.5,0.956,1620690,13838.38,20152.82,220.01,130.11,126.78,1.6911,0.4834,0,0,ok
IMG_20260912_071917.jpg,11,Crisalia,197257,xiaomi_15_ultra,162.07,10.8048,2.422,2.5,0.962,1656364,14188.11,20650.86,223.88,132.07,126.15,1.6952,0.4798,0,0,ok
IMG_20260912_071917_1.jpg,11,Crisalia,197257,xiaomi_15_ultra,162.07,10.8046,2.422,2.5,0.961,1664460,14257.92,20752.36,223.33,133.83,126.71,1.6687,0.477,0,0,ok
IMG_20260912_071918.jpg,11,Crisalia,197257,xiaomi_15_ultra,162.08,10.8056,2.422,2.5,0.96,1645248,14090.76,20509.7,225.07,134.47,128.54,1.6738,0.4656,0,0,ok
IMG_20260912_071918_1.jpg,11,Crisalia,197257,xiaomi_15_ultra,162.8,10.8533,2.411,2.5,0.962,1665677,14140.59,20613.34,224.08,132.68,125.58,1.6889,0.4756,0,0,ok
IMG_20260912_071919.jpg,11,Crisalia,197257,xiaomi_15_ultra,162.55,10.8369,2.415,2.5,0.961,1660842,14142.24,20605.05,223.77,134.08,128.17,1.669,0.4714,0,0,ok
IMG_20260912_071919_1.jpg,11,Crisalia,197257,xiaomi_15_ultra,162.33,10.8219,2.418,2.5,0.96,1669073,14251.78,20754.78,225.28,133.71,127.15,1.6849,0.4731,0,0,ok
IMG_20260912_071925.jpg,11,Crisalia,197257,xiaomi_15_ultra,134.56,8.9707,2.917,3.0,0.955,1165057,14477.45,19865.66,229.08,131.32,128.42,1.7445,0.4813,1,1,ok
IMG_20260912_071925_1.jpg,11,Crisalia,197257,xiaomi_15_ultra,134.56,8.9705,2.917,3.0,0.927,1173398,14581.91,20008.83,229.75,126.3,124.19,1.8191,0.5025,1,0,ok
